# CVRadar Domain Taxonomy
# Format: GROUP | canonical_name | synonym1, synonym2, synonym3 ...
# Used by Track 1 local stream classifier (zero LLM, regex + synonym matching)
# Groups allow chart-level aggregation in analytics dashboard

# ============================================================
# GEOSPATIAL & EARTH SCIENCES
# ============================================================
GEOSPATIAL | Remote Sensing | remote sensing, earth observation, satellite imagery, satellite image, eo, rs, landsat, sentinel, modis, spot, resourcesat, ikonos, worldview, pleiades, rapideye, ndvi, ndwi, ndbi, evi, lswi, savi, vegetation index, spectral index, image classification, supervised classification, unsupervised classification, object based classification, obia, change detection, lulc, land use land cover, land cover mapping, crop mapping, crop classification, crop monitoring, forest cover, deforestation mapping, urban mapping, flood mapping, burnt area, fire detection, biomass estimation, agro-meteorological, sar, synthetic aperture radar, radar imagery, microwave remote sensing, hyperspectral, multispectral, lidar, photogrammetry, aerial photography, drone imagery, uav imagery, image processing, radiometric correction, atmospheric correction, geometric correction, orthorectification, mosaic, pan sharpening, erdas imagine, envi, snap, google earth engine, gee, eodag, sentinelhub, planetary computer, aws earth, stac, raster processing, pixel classification, accuracy assessment, confusion matrix, kappa coefficient
AGRICULTURE | Veterinary Science | veterinary science, animal science, veterinary medicine, livestock management
AGRICULTURE | Fisheries | fisheries, aquaculture, fishery science, marine fisheries

# ============================================================
# MEDICINE & HEALTH SCIENCES
# ============================================================
HEALTH | Medicine | medicine, MBBS, medical science, clinical medicine, MD
HEALTH | Public Health | public health, epidemiology, community medicine, global health
HEALTH | Pharmacy | pharmacy, pharmaceutical science, pharmacology, drug science
HEALTH | Nursing | nursing, nursing science, midwifery, clinical nursing
HEALTH | Dentistry | dentistry, dental science, oral health
HEALTH | Physiotherapy | physiotherapy, physical therapy, rehabilitation science
HEALTH | Occupational Therapy | occupational therapy, rehabilitation
HEALTH | Nutrition | nutrition, dietetics, food and nutrition
HEALTH | Medical Imaging | medical imaging, radiology, nuclear medicine

# ============================================================
# SOCIAL SCIENCES
# ============================================================
SOCIAL_SCIENCES | Economics | economics, applied economics, development economics, macroeconomics, microeconomics, econometrics
SOCIAL_SCIENCES | Political Science | political science, governance, international relations, public policy, political studies
SOCIAL_SCIENCES | Sociology | sociology, social work, social studies, criminology
SOCIAL_SCIENCES | Psychology | psychology, applied psychology, clinical psychology, counselling
SOCIAL_SCIENCES | Anthropology | anthropology, social anthropology, cultural anthropology, archaeology
SOCIAL_SCIENCES | History | history, historical studies, ancient history, modern history
SOCIAL_SCIENCES | Philosophy | philosophy, logic, ethics, metaphysics
SOCIAL_SCIENCES | Linguistics | linguistics, applied linguistics, phonetics, language studies
SOCIAL_SCIENCES | International Studies | international studies, international development, peace studies

# ============================================================
# LAW
# ============================================================
LAW | Law | law, LLB, LLM, legal studies, jurisprudence, corporate law, criminal law, constitutional law, international law, intellectual property law, human rights law, environmental law, tax law, labour law

# ============================================================
# MANAGEMENT & BUSINESS
# ============================================================
MANAGEMENT | Business Administration | business administration, MBA, management, business management, general management
MANAGEMENT | Finance | finance, financial management, accounting, chartered accountancy, CA, CFA, banking, financial analysis
MANAGEMENT | Marketing | marketing, digital marketing, brand management, market research, sales management
MANAGEMENT | Human Resources | human resources, HR management, organizational behaviour, talent management
MANAGEMENT | Supply Chain | supply chain management, logistics, operations management, procurement
MANAGEMENT | Entrepreneurship | entrepreneurship, innovation management, startup management
MANAGEMENT | International Business | international business, global business, trade management
MANAGEMENT | Healthcare Management | healthcare management, hospital administration, health management
MANAGEMENT | Public Administration | public administration, government administration, civil services

# ============================================================
# ARTS & HUMANITIES
# ============================================================
ARTS | Fine Arts | fine arts, visual arts, painting, sculpture, drawing
ARTS | Performing Arts | performing arts, music, dance, theatre, drama
ARTS | Film & Media | film studies, media studies, mass communication, journalism, broadcasting
ARTS | Design | design, graphic design, industrial design, interior design, fashion design, UX design, product design
ARTS | Literature | literature, English literature, comparative literature, creative writing
ARTS | Languages | languages, foreign languages, translation, interpretation, linguistics

# ============================================================
# ARCHITECTURE & PLANNING
# ============================================================
ARCHITECTURE | Architecture | architecture, urban design, landscape architecture
ARCHITECTURE | Urban Planning | urban planning, city planning, regional planning, town planning, land use planning

# ============================================================
# EDUCATION
# ============================================================
EDUCATION | Education | education, teaching, pedagogy, curriculum development, educational technology, instructional design
EDUCATION | Physical Education | physical education, sports science, kinesiology, sports management

# ============================================================
# DEFENSE & SECURITY
# ============================================================
DEFENSE | Defense Studies | defense studies, military science, strategic studies, security studies
DEFENSE | Criminology | criminology, forensic science, forensics, criminal justice, policing

# ============================================================
# INTERDISCIPLINARY / EMERGING
# ============================================================
INTERDISCIPLINARY | Climate Science | climate science, climate change, sustainability science, environmental policy
INTERDISCIPLINARY | Energy Studies | energy engineering, renewable energy, energy policy, solar energy, wind energy
INTERDISCIPLINARY | Disaster Management | disaster management, emergency management, risk assessment, crisis management
INTERDISCIPLINARY | GeoAI | geoai, geospatial ai, spatial data science, geospatial data science
INTERDISCIPLINARY | Digital Humanities | digital humanities, computational social science
INTERDISCIPLINARY | Cognitive Science | cognitive science, neuroscience, brain science, computational neuroscience
